value,weatherElement_Id
"30",2036
"16.5",2037
"5",2038
"319.1",2039
"9.4",2040
"60.0",2041
"15",2042
"20.1",2043
"60.0",2044
"15",2045
"73",2046
"40",2047
"12",2048
"1008.1",2049
"16",2050
"158.6",2051
"26.2",2052
"35.9",2053
"30",2054
"18.2",2055
"12",2056
"74.6",2057
"7.8",2058
"20.0",2059
"14",2060
"15.9",2061
"20.0",2062
"14",2063
"74",2064
"41",2065
"13",2066
"1007.2",2067
"14",2068
"170.6",2069
"24.3",2070
"32.5",2071
"30",2072
"15.1",2073
"12",2074
"221.2",2075
"5.8",2076
"20.0",2077
"30",2078
"14.8",2079
"120.0",2080
"16",2081
"75",2082
"41",2083
"3",2084
"1006.6",2085
"10",2086
